ensembl_gene_id	description
LOC100577004	probable G-protein coupled receptor CG31760, transcript variant X4
LOC413680	epsin-2, transcript variant X4
LOC410771	WD repeat-containing protein 47, transcript variant X4
LOC552523	L-threonine ammonia-lyase, transcript variant X2
LOC552372	ER membrane protein complex subunit 8/9 homolog
LOC100576894	keratin, type II cytoskeletal 74
LOC552710	asparagine synthetase domain-containing, transcript variant X5
LOC413428	uncharacterized LOC413428
LOC102655942	transmembrane protein 138, transcript variant X2
LOC113219154	uncharacterized LOC113219154
LOC409647	THO complex subunit 1, transcript variant X1
LOC409092	enhancer of mRNA-decapping protein 3, transcript variant X3
GeneID_408383	cytochrome P450 6AQ1
LOC409212	cadherin-87A
LOC113218738	uncharacterized LOC113218738
LOC552851	crossover junction endonuclease EME1
LOC550711	60S acidic ribosomal protein P0
LOC107964221	uncharacterized LOC107964221
LOC410602	E3 ISG15--protein ligase Herc6
LOC409766	ubiquitin-like modifier-activating enzyme 5, transcript variant X2
LOC100577317	uncharacterized LOC100577317, transcript variant X1
LOC551150	BRCA2-interacting transcriptional repressor EMSY, transcript variant X2
LOC725736	probable oligoribonuclease
GeneID_410197	cryptochrome 2
LOC551016	midasin
LOC408589	macro domain-containing protein CT2219, transcript variant X1
LOC552082	vinculin, transcript variant X2
LOC725021	trypsin 3A1, transcript variant X3
LOC113219273	uncharacterized LOC113219273
LOC413120	dnaJ homolog subfamily B member 12
LOC726896	zinc finger and BTB domain-containing protein 47
LOC552774	60S ribosomal protein L28, transcript variant X1
LOC102653873	uncharacterized LOC102653873, transcript variant X4
LOC552064	AP-3 complex subunit beta-2, transcript variant X1
LOC724592	calmodulin-binding transcription activator 2, transcript variant X1
LOC551227	myb-like protein I, transcript variant X1
GeneID_410032	thioredoxin reductase 1
LOC107964224	uncharacterized LOC107964224
LOC410622	uncharacterized LOC410622
LOC726650	uncharacterized LOC726650
LOC410499	protein gooseberry
GeneID_100629002	microRNA 3752
LOC100578998	ciliogenesis-associated TTC17-interacting protein
LOC102655775	uncharacterized LOC102655775
LOC551563	cullin-5, transcript variant X1
LOC409517	digestive cysteine proteinase 1
LOC410763	deoxyhypusine hydroxylase
LOC102654519	uncharacterized LOC102654519
LOC408850	pre-mRNA-processing factor 39
GeneID_552255	broad-complex
LOC100578307	multiple inositol polyphosphate phosphatase 1, transcript variant X2
LOC410747	glucose dehydrogenase [FAD, quinone], transcript variant X2
LOC113219360	outer dense fiber protein 3B-like
LOC107963989	uncharacterized LOC107963989
LOC107964360	uncharacterized LOC107964360
LOC726508	ABC transporter G family member 3
LOC413711	mitochondrial uncoupling protein Bmcp
LOC413730	probable cytochrome P450 301a1, mitochondrial
LOC102655396	uncharacterized LOC102655396
LOC107965073	uncharacterized LOC107965073
GeneID_732493	microRNA 124
LOC552827	probable small nuclear ribonucleoprotein G
LOC107964762	transcription activator MSS11
GeneID_104797380	microRNA 9864
LOC725033	uncharacterized LOC725033, transcript variant X3
LOC107964878	uncharacterized LOC107964878, transcript variant X2
LOC102653952	uncharacterized LOC102653952
LOC725475	COMM domain-containing protein 8
LOC100578829	elongation of very long chain fatty acids protein 1
LOC726279	M-phase phosphoprotein 6
LOC412696	TIP41-like protein, transcript variant X2
LOC413380	yellow-g2, transcript variant X2
LOC412262	protein Hook homolog 3
LOC408433	UBX domain-containing protein 4
LOC102655139	uncharacterized LOC102655139
LOC412085	post-GPI attachment to proteins factor 3, transcript variant X2
LOC100576859	cilia- and flagella-associated protein 36
LOC100576434	protein atonal, transcript variant X2
LOC409554	intersectin-1, transcript variant X7
LOC408309	serine-arginine protein 55, transcript variant X8
LOC413994	calcium-activated potassium channel slowpoke, transcript variant X36
LOC726164	uncharacterized protein CG1161
LOC113219392	uncharacterized LOC113219392
LOC412209	probable cytochrome P450 6a17
LOC724196	retinal homeobox protein Rx1
LOC102656160	uncharacterized LOC102656160
LOC102654750	uncharacterized LOC102654750, transcript variant X1
LOC724846	uncharacterized LOC724846, transcript variant X3
LOC107964417	uncharacterized LOC107964417
LOC409196	alanine aminotransferase 1
LOC411121	WD repeat-containing protein 48
LOC409247	transcription factor IIIB 90 kDa subunit, transcript variant X2
LOC551622	protein misato, transcript variant X1
GeneID_410839	glutathione S-transferase, C-terminal domain containing
LOC727142	uncharacterized protein C9orf85 homolog
LOC113219135	uncharacterized LOC113219135
LOC412233	pseudouridine-metabolizing bifunctional protein C1861.05
LOC100578314	monocarboxylate transporter 10, transcript variant X7
LOC409794	ubiquitin-conjugating enzyme E2 J1, transcript variant X3
LOC726653	mitochondrial import inner membrane translocase subunit TIM14, transcript variant X3
LOC412470	MAP kinase-interacting serine/threonine-protein kinase 1, transcript variant X1
LOC408272	monocarboxylate transporter 7, transcript variant X2
LOC411423	poly(ADP-ribose) glycohydrolase ARH3, transcript variant X1
LOC100577836	uncharacterized LOC100577836
LOC113218798	uncharacterized LOC113218798
LOC107964414	uncharacterized LOC107964414
LOC411091	RNA-binding protein 34
LOC552711	anoctamin-4, transcript variant X2
LOC408982	calcineurin B homologous protein 1
LOC102653695	uncharacterized LOC102653695
LOC102654056	uncharacterized LOC102654056
GeneID_104796781	microRNA 6042
LOC409757	ecto-NOX disulfide-thiol exchanger 2, transcript variant X1
LOC100577146	uncharacterized LOC100577146, transcript variant X2
GeneID_107964120	tRNA-Ala
LOC724150	B-cell lymphoma/leukemia 11B, transcript variant X1
LOC552030	uncharacterized LOC552030
LOC408992	NPC intracellular cholesterol transporter 1 homolog 1b
LOC102654587	uncharacterized LOC102654587
LOC552844	complexin, transcript variant X3
LOC409695	uncharacterized LOC409695, transcript variant X1
GeneID_413211	SIFamide receptor
LOC412454	tetratricopeptide repeat protein 37, transcript variant X2
LOC408696	uncharacterized LOC408696
LOC552310	microspherule protein 1
LOC102653896	uncharacterized LOC102653896
LOC551947	WD repeat and FYVE domain-containing protein 3, transcript variant X2
LOC410231	toll-like receptor Tollo
LOC726721	protein transport protein Sec61 subunit gamma, transcript variant X4
LOC409846	GMP synthase [glutamine-hydrolyzing]
LOC113219053	uncharacterized LOC113219053
LOC413809	mitogen-activated protein kinase kinase kinase 7, transcript variant X2
LOC107965519	uncharacterized LOC107965519, transcript variant X3
LOC551916	SH3 domain-binding glutamic acid-rich protein homolog, transcript variant X2
LOC100577343	uncharacterized LOC100577343, transcript variant X2
LOC409634	uncharacterized LOC409634, transcript variant X3
LOC102654297	uncharacterized LOC102654297
LOC113218793	uncharacterized LOC113218793, transcript variant X2
LOC725239	RNA-binding protein 33, transcript variant X2
GeneID_552475	acyl-CoA synthetase family member 2
LOC113219405	uncharacterized LOC113219405, transcript variant X2
LOC411939	guanine nucleotide exchange factor subunit Rich, transcript variant X1
LOC100578828	uncharacterized LOC100578828
GeneID_100578013	odorant receptor 13
LOC100577833	histone H1.2
LOC409723	40S ribosomal protein S12, mitochondrial
LOC410493	vacuolar protein sorting-associated protein 11 homolog, transcript variant X2
LOC102653810	odorant receptor 22c, transcript variant X3
LOC107964433	uncharacterized LOC107964433
LOC725966	fork head domain-containing protein crocodile
LOC100577113	uncharacterized LOC100577113, transcript variant X4
LOC725323	ATP-dependent DNA helicase DDX11
LOC100577695	uncharacterized LOC100577695, transcript variant X3
LOC102654625	uncharacterized LOC102654625, transcript variant X7
LOC102654557	uncharacterized LOC102654557
LOC411791	luc7-like protein 3, transcript variant X1
LOC411582	tyrosine-protein kinase Fer, transcript variant X3
LOC100576519	TLD domain-containing protein 1, transcript variant X1
LOC727272	zinc finger CCCH domain-containing protein 3, transcript variant X2
LOC412097	AP-3 complex subunit delta-1
LOC107964317	uncharacterized LOC107964317
LOC412588	tyrosine-protein kinase Src42A, transcript variant X8
LOC100578091	uncharacterized LOC100578091
LOC102655195	uncharacterized LOC102655195
LOC107964934	uncharacterized LOC107964934, transcript variant X2
LOC726458	ETS-like protein pointed
LOC107965562	muscle-specific protein 20
LOC102655217	transcription and mRNA export factor ENY2
LOC413579	endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase, transcript variant X1
LOC411619	double-strand-break repair protein rad21 homolog, transcript variant X1
LOC113219266	uncharacterized LOC113219266
LOC408866	uncharacterized aarF domain-containing protein kinase 1
LOC100577065	lymphocyte expansion molecule-like
LOC726302	alpha-protein kinase 1, transcript variant X1
LOC552195	uncharacterized LOC552195, transcript variant X4
GeneID_409873	major royal jelly protein 9
LOC725758	regulator of G-protein signaling 7-binding protein A
LOC408435	POU domain, class 6, transcription factor 2, transcript variant X8
LOC551308	probable serine/threonine-protein kinase ndrD, transcript variant X3
LOC113218876	paramyosin-like
LOC408805	progestin and adipoQ receptor family member 3, transcript variant X2
LOC410293	collectin-11
GeneID_732498	microRNA 219
LOC725660	uncharacterized LOC725660, transcript variant X2
LOC409203	UDP-glucuronosyltransferase 2A3, transcript variant X2
LOC410949	MOB kinase activator-like 4, transcript variant X2
LOC411789	protein krasavietz
LOC551773	serine/threonine-protein kinase VRK1
LOC409759	serine-rich adhesin for platelets
LOC100576602	uncharacterized LOC100576602, transcript variant X9
LOC410109	ubiquitin carboxyl-terminal hydrolase 34
LOC100576425	uncharacterized LOC100576425, transcript variant X1
LOC726237	protein disulfide-isomerase TMX3
LOC413835	RNA-binding protein 1, transcript variant X6
LOC413908	cytochrome P450 6A1, transcript variant X1
LOC552719	mediator of RNA polymerase II transcription subunit 11
LOC100577164	uncharacterized LOC100577164, transcript variant X1
LOC413490	clavesin-2, transcript variant X2
LOC413394	vesicle-trafficking protein SEC22b-B
LOC409704	poly(A) polymerase type 3, transcript variant X4
LOC409085	guanine nucleotide exchange factor for Rab-3A, transcript variant X2
LOC726811	protein-lysine N-methyltransferase EEF2KMT, transcript variant X2
LOC113218661	uncharacterized LOC113218661
LOC552490	uncharacterized LOC552490
LOC725556	intraflagellar transport protein 81 homolog, transcript variant X2
LOC727026	cytochrome c oxidase copper chaperone
LOC726524	chromodomain-helicase-DNA-binding protein 7, transcript variant X1
LOC113218637	uncharacterized LOC113218637
LOC102654666	uncharacterized LOC102654666
LOC102656044	uncharacterized LOC102656044
LOC113218892	28S ribosomal protein S21, mitochondrial
LOC409358	intraflagellar transport protein 74 homolog
LOC725091	lachesin, transcript variant X1
LOC113218782	uncharacterized LOC113218782
LOC724379	tubulin polyglutamylase TTLL4
LOC100577600	uncharacterized LOC100577600, transcript variant X2
LOC113219054	uncharacterized LOC113219054
LOC113218770	uncharacterized LOC113218770
LOC408520	upstream activation factor subunit spp27
LOC410532	solute carrier family 28 member 3, transcript variant X5
LOC724646	uncharacterized LOC724646, transcript variant X1
LOC107965163	esterase B1
LOC411918	nuclear pore complex protein Nup205
LOC102653727	uncharacterized LOC102653727
LOC725761	uncharacterized abhydrolase domain-containing protein DDB_G0269086, transcript variant X1
LOC725288	armadillo repeat-containing protein 3
LOC100576198	bromodomain-containing protein DDB_G0270170
LOC100576227	probable serine/threonine-protein kinase DDB_G0282963, transcript variant X2
LOC102655709	uncharacterized LOC102655709
LOC412162	armadillo repeat-containing protein gudu, transcript variant X2
LOC551579	band 4.1-like protein 5, transcript variant X3
LOC102656027	uncharacterized LOC102656027
LOC552386	anamorsin homolog, transcript variant X1
GeneID_104796348	microRNA 6000b
LOC410926	PH domain leucine-rich repeat-containing protein phosphatase 2
LOC100578455	uncharacterized LOC100578455, transcript variant X2
LOC725215	venom acid phosphatase Acph-1, transcript variant X1
LOC102655330	uncharacterized LOC102655330
LOC552616	iron-sulfur cluster assembly 1 homolog, mitochondrial
LOC724900	uncharacterized LOC724900, transcript variant X7
LOC409185	uncharacterized LOC409185, transcript variant X4
GeneID_677674	odorant binding protein 13
LOC413286	cyclin-dependent kinase-like 2, transcript variant X3
LOC413223	rapamycin-insensitive companion of mTOR, transcript variant X1
LOC113218611	uncharacterized LOC113218611
GeneID_408930	tyrosine hydroxylase
LOC552177	uncharacterized LOC552177, transcript variant X7
LOC724948	protein KRI1 homolog, transcript variant X1
LOC551854	serine/threonine-protein phosphatase 5
LOC550684	protein unc-50 homolog
LOC412293	membrane-bound transcription factor site-1 protease
LOC102655278	uncharacterized LOC102655278
LOC102653832	uncharacterized LOC102653832, transcript variant X1
LOC410245	urokinase-type plasminogen activator
LOC107965950	uncharacterized LOC107965950
LOC552453	restin homolog
LOC725295	GRIP and coiled-coil domain-containing protein 1
LOC412065	proton-coupled amino acid transporter 4, transcript variant X3
LOC726069	atrial natriuretic peptide receptor 1, transcript variant X2
LOC100576585	uncharacterized LOC100576585, transcript variant X2
LOC552614	E3 ubiquitin-protein ligase ZNRF2
LOC113218789	uncharacterized LOC113218789
LOC726253	UDP-N-acetylglucosamine transferase subunit ALG13 homolog
LOC113219349	uncharacterized LOC113219349, transcript variant X3
LOC410225	probable E3 ubiquitin-protein ligase RNF144A, transcript variant X1
LOC409668	proteasome inhibitor PI31 subunit, transcript variant X1
LOC107964013	uncharacterized LOC107964013
LOC409106	protein zyg-11 homolog B, transcript variant X1
GeneID_107965393	tRNA-His
LOC102654623	uncharacterized LOC102654623
LOC726221	transmembrane protein 14C
LOC552455	transmembrane 9 superfamily member 2, transcript variant X4
LOC102653804	uncharacterized LOC102653804
LOC725302	H2.0-like homeobox protein
LOC725243	kielin/chordin-like protein, transcript variant X1
LOC412843	phosphoenolpyruvate carboxykinase, transcript variant X2
LOC724263	39S ribosomal protein L51, mitochondrial
LOC725788	plexin domain-containing protein 2, transcript variant X3
LOC408283	E3 ubiquitin-protein ligase RNF13, transcript variant X2
LOC552200	probable histone-binding protein Caf1, transcript variant X2
LOC413933	8-oxo-dGDP phosphatase NUDT18
LOC107964187	uncharacterized LOC107964187
LOC412008	sprouty-related, EVH1 domain-containing protein 1, transcript variant X2
LOC113218966	uncharacterized LOC113218966
LOC113219407	uncharacterized LOC113219407
LOC102655240	tRNA-specific adenosine deaminase 2
LOC412612	carbohydrate sulfotransferase 4, transcript variant X1
LOC727546	uncharacterized LOC727546
LOC412741	manganese-transporting ATPase 13A1
LOC727153	fructose-1,6-bisphosphatase 1, transcript variant X6
LOC726742	chromosome transmission fidelity protein 18 homolog
LOC100576960	DNA polymerase subunit gamma-2, mitochondrial
LOC413110	DNA-directed RNA polymerases I, II, and III subunit RPABC1
LOC412378	3'-5' ssDNA/RNA exonuclease TatD, transcript variant X5
LOC551927	alcohol dehydrogenase [NADP(+)], transcript variant X1
GeneID_100629029	microRNA 3792
LOC551432	zinc finger and BTB domain-containing protein 20, transcript variant X12
GeneID_104796168	microRNA 9880
LOC107964288	uncharacterized LOC107964288
LOC100577978	uncharacterized LOC100577978
LOC411968	kelch-like protein 10
LOC551450	uncharacterized LOC551450
LOC726126	proclotting enzyme
LOC408413	26S proteasome non-ATPase regulatory subunit 7
LOC102656092	uncharacterized LOC102656092
LOC100577377	uncharacterized LOC100577377
LOC107965891	electron transfer flavoprotein regulatory factor 1
LOC551255	mitochondrial fission 1 protein
LOC726453	ATP synthase subunit s, mitochondrial
LOC725969	MAGE-like protein 2
LOC100577139	AF4/FMR2 family member 4, transcript variant X2
LOC102654892	uncharacterized LOC102654892, transcript variant X2
LOC551485	uncharacterized LOC551485, transcript variant X1
LOC408352	elongation factor Ts, mitochondrial
LOC411846	neprilysin-4, transcript variant X2
LOC100577165	uncharacterized LOC100577165, transcript variant X3
LOC411774	protein SMG9
LOC113219352	uncharacterized LOC113219352
LOC102653599	uncharacterized LOC102653599, transcript variant X1
LOC113218797	uncharacterized LOC113218797
GeneID_724047	MAX dimerization protein
LOC107963965	zinc finger HIT domain-containing protein 1
LOC102655997	uncharacterized LOC102655997
LOC102655299	uncharacterized LOC102655299, transcript variant X2
LOC412934	potassium voltage-gated channel protein Shaw, transcript variant X5
LOC100576625	uncharacterized LOC100576625
LOC107964730	uncharacterized LOC107964730
LOC413684	gustatory receptor for sugar taste 64f
LOC725426	uncharacterized LOC725426, transcript variant X2
LOC409452	maltase A2, transcript variant X1
LOC551540	replication factor C subunit 2
LOC113219050	uncharacterized LOC113219050
LOC102655928	uncharacterized LOC102655928, transcript variant X3
LOC727189	geranylgeranyl pyrophosphate synthase, transcript variant X3
LOC409193	microtubule-associated serine/threonine-protein kinase 3, transcript variant X1
LOC409242	protein PRRC2C, transcript variant X1
LOC552194	transmembrane protein 181, transcript variant X1
LOC412495	actin-interacting protein 1, transcript variant X2
LOC551250	microsomal triglyceride transfer protein large subunit
LOC100576542	protein POLR1D, transcript variant X1
LOC100578593	uncharacterized LOC100578593, transcript variant X1
LOC551888	WASH complex subunit 4
LOC724458	achaete-scute complex protein T3, transcript variant X5
LOC725583	bridging integrator 3
LOC411374	protein gooseberry-neuro-like
LOC102655539	uncharacterized LOC102655539
LOC724977	partitioning defective protein 6, transcript variant X2
LOC725621	uncharacterized LOC725621
LOC100577385	facilitated trehalose transporter Tret1, transcript variant X7
LOC113219372	organic cation transporter protein-like
LOC725516	protein SERAC1, transcript variant X3
GeneID_107964393	tRNA-Glu
LOC102654428	uncharacterized LOC102654428, transcript variant X2
LOC100577242	sterile alpha and TIR motif-containing protein 1
LOC113218596	uncharacterized LOC113218596
LOC107964720	uncharacterized LOC107964720
LOC726322	uncharacterized LOC726322, transcript variant X3
LOC413714	ATP synthase mitochondrial F1 complex assembly factor 2
LOC107963981	uncharacterized LOC107963981
LOC410238	leukocyte receptor cluster member 1
LOC102655520	uncharacterized LOC102655520, transcript variant X1
LOC724923	SAC3 domain-containing protein 1
LOC100578557	solute carrier family 46 member 3, transcript variant X1
LOC725114	chymotrypsin inhibitor
GeneID_551643	trehalose transporter 1
LOC102656738	uncharacterized LOC102656738
LOC113219351	uncharacterized LOC113219351
GeneID_725996	nicotinic acetylcholine receptor alpha3 subunit
LOC113219358	uncharacterized LOC113219358
LOC409457	eIF-2-alpha kinase activator GCN1
LOC113219427	uncharacterized LOC113219427
GeneID_107965644	tRNA-Lys
LOC726855	vegetative cell wall protein gp1
LOC100578236	RNA-binding protein Musashi homolog 2
LOC726301	actin-related protein 2/3 complex subunit 4
LOC408517	synaptic vesicular amine transporter, transcript variant X4
LOC409691	signal peptide peptidase-like 3, transcript variant X2
LOC725835	DNA polymerase epsilon subunit 4, transcript variant X2
LOC102654142	uncharacterized LOC102654142
LOC408463	uncharacterized LOC408463, transcript variant X8
LOC107965322	gamma-interferon-inducible lysosomal thiol reductase
LOC102653938	high mobility group B protein 4-like
LOC409728	40S ribosomal protein S5, transcript variant X2
LOC107965780	uncharacterized LOC107965780, transcript variant X1
LOC725527	cytochrome b-c1 complex subunit Rieske, mitochondrial, transcript variant X1
LOC726969	farnesyl pyrophosphate synthase
LOC409201	acyl-protein thioesterase 1
LOC552154	uncharacterized LOC552154
LOC113219308	uncharacterized LOC113219308
LOC411707	probable glutamate--tRNA ligase, mitochondrial
LOC727419	ribonuclease P protein subunit p29
LOC100576248	balbiani ring protein 3
LOC408544	lysyl oxidase homolog 4, transcript variant X3
LOC409070	protein pellino, transcript variant X2
LOC726761	paired box protein Pax-5, transcript variant X7
LOC725421	SET and MYND domain-containing protein 4, transcript variant X1
LOC410278	putative inorganic phosphate cotransporter, transcript variant X3
LOC411157	fat-like cadherin-related tumor suppressor homolog, transcript variant X11
LOC724936	uncharacterized LOC724936
LOC724188	protein transport protein Sec61 subunit beta
LOC551684	ferritin heavy polypeptide-like 17
LOC724561	E3 ubiquitin-protein ligase DCST1, transcript variant X1
LOC412301	testicular acid phosphatase homolog, transcript variant X5
LOC551793	uncharacterized LOC551793, transcript variant X1
LOC113219302	putative uncharacterized protein DDB_G0277057
LOC102655355	uncharacterized LOC102655355
LOC102655088	uncharacterized LOC102655088, transcript variant X1
LOC107965290	uncharacterized LOC107965290
LOC725700	vacuolar protein sorting-associated protein 29
LOC409703	uncharacterized LOC409703, transcript variant X2
LOC411233	U3 small nucleolar ribonucleoprotein protein MPP10
LOC414001	mRNA-capping enzyme
LOC552568	hydroxyacylglutathione hydrolase, mitochondrial, transcript variant X3
LOC102655621	uncharacterized LOC102655621
LOC409857	ribosomal RNA small subunit methyltransferase NEP1
LOC107964028	uncharacterized LOC107964028
GeneID_100642169	odorant receptor 51
LOC113218537	transcription factor 4
LOC726850	cytochrome b5, transcript variant X2
LOC725359	uncharacterized LOC725359
LOC727085	zinc finger protein 558
LOC107965147	uncharacterized LOC107965147
LOC409936	zinc finger and BTB domain-containing protein 34, transcript variant X2
LOC113219428	uncharacterized LOC113219428
GeneID_104794314	microRNA 6000a
LOC552196	ras-related protein Rab-43
LOC102655609	uncharacterized LOC102655609
LOC408916	JNK-interacting protein 1, transcript variant X4
LOC725958	mucosa-associated lymphoid tissue lymphoma translocation protein 1
LOC107964775	uncharacterized LOC107964775
LOC727170	eisosome protein SEG2, transcript variant X3
LOC724537	ubiquitin carboxyl-terminal hydrolase 36, transcript variant X1
LOC552748	histone acetyltransferase type B catalytic subunit
LOC113218839	uncharacterized LOC113218839, transcript variant X2
LOC409788	SAFB-like transcription modulator
LOC100577367	uncharacterized LOC100577367, transcript variant X1
GeneID_408540	thioredoxin peroxidase 3
LOC409186	vam6/Vps39-like protein, transcript variant X5
LOC410339	transcription termination factor 3, mitochondrial
LOC102654020	uncharacterized LOC102654020
LOC726815	uncharacterized protein At4g17910
LOC102653654	helix-loop-helix protein 1-like, transcript variant X1
LOC107964193	uncharacterized LOC107964193
LOC552780	ribonuclease P/MRP protein subunit POP5
LOC725491	GPI mannosyltransferase 1, transcript variant X1
LOC409162	retinoid-inducible serine carboxypeptidase
LOC725589	centrosomal protein of 120 kDa, transcript variant X1
LOC726268	uncharacterized LOC726268
LOC113218751	uncharacterized LOC113218751
LOC102655594	uncharacterized LOC102655594
LOC413379	yellow-g
LOC102654321	uncharacterized LOC102654321, transcript variant X1
LOC550935	splicing factor 3B subunit 3
LOC551607	DNA-directed RNA polymerase II subunit RPB11
LOC411693	Kv channel-interacting protein 1, transcript variant X6
LOC550973	myosin regulatory light chain sqh
LOC113218845	uncharacterized LOC113218845
LOC102656387	uncharacterized LOC102656387
LOC409902	liprin-alpha-1, transcript variant X13
LOC113218964	uncharacterized LOC113218964
LOC100577302	unconventional prefoldin RPB5 interactor-like protein, transcript variant X6
LOC409770	probable tubulin polyglutamylase TTLL1
LOC107964820	uncharacterized LOC107964820, transcript variant X1
LOC102655208	uncharacterized LOC102655208
LOC100859932	uncharacterized LOC100859932
LOC409110	programmed cell death protein 2-like
LOC102653866	uncharacterized LOC102653866, transcript variant X5
LOC100576413	uncharacterized protein PF11_0213, transcript variant X1
LOC411054	polypeptide N-acetylgalactosaminyltransferase 2, transcript variant X2
LOC107964328	bone morphogenetic protein 10
LOC725950	PHD finger protein 20, transcript variant X9
LOC411849	probable sulfite oxidase, mitochondrial
LOC551823	probable ATP-dependent RNA helicase DDX23
GeneID_107964933	tRNA-Met
LOC107965173	uncharacterized LOC107965173
LOC107964652	uncharacterized LOC107964652
LOC726284	regulator of G-protein signaling 17, transcript variant X1
LOC100576945	uncharacterized LOC100576945
LOC413371	mothers against decapentaplegic homolog 6
LOC408573	eukaryotic translation initiation factor 6
LOC102655605	uncharacterized LOC102655605, transcript variant X1
LOC113218680	5S ribosomal RNA
LOC726259	cytochrome c oxidase assembly protein COX16 homolog, mitochondrial
LOC551223	probable cytochrome P450 305a1
GeneID_409677	cytochrome P450 6AS5
LOC724952	sodium-independent sulfate anion transporter, transcript variant X1
LOC410777	dedicator of cytokinesis protein 9, transcript variant X3
LOC100578680	uncharacterized LOC100578680, transcript variant X1
LOC413473	GTPase-activating Rap/Ran-GAP domain-like protein 3, transcript variant X7
LOC409195	MIP18 family protein galla-1
LOC411171	putative protein FAM10A4
LOC100578269	uncharacterized LOC100578269, transcript variant X1
LOC725427	glucose dehydrogenase [FAD, quinone]
LOC413071	eye-specific diacylglycerol kinase, transcript variant X2
LOC102655092	uncharacterized LOC102655092
LOC113218559	solute carrier family 52, riboflavin transporter, member 3-A-like
LOC724207	phospholipid scramblase 2, transcript variant X7
LOC413772	suppressor of cytokine signaling 7
LOC100576772	uncharacterized LOC100576772
LOC100577436	sperm flagellar protein 2-like
LOC726400	forkhead box protein I1-ema
LOC724919	mitochondrial amidoxime reducing component 2
LOC408301	type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase
LOC413884	ubiquitin-40S ribosomal protein S27a
LOC409877	myeloid leukemia factor, transcript variant X3
LOC409531	NECAP-like protein CG9132, transcript variant X1
LOC551330	40S ribosomal protein S3
LOC100577221	uncharacterized LOC100577221
LOC724282	homeobox protein orthopedia
GeneID_107965396	tRNA-Arg
LOC412563	dihydroxyacetone phosphate acyltransferase
LOC411794	CCR4-NOT transcription complex subunit 3
LOC551588	factor VIII intron 22 protein
LOC113218954	uncharacterized LOC113218954
LOC102654380	uncharacterized LOC102654380
LOC107964864	uncharacterized LOC107964864
LOC113218627	uncharacterized LOC113218627
LOC102655948	phosphatidylinositol N-acetylglucosaminyltransferase subunit C
LOC113218584	uncharacterized LOC113218584
LOC724591	Hermansky-Pudlak syndrome 3 protein
LOC410216	reticulocalbin-2
LOC411756	bromodomain adjacent to zinc finger domain protein 1A, transcript variant X2
LOC100576813	uncharacterized LOC100576813
LOC100578718	protein distal antenna
LOC102656707	uncharacterized LOC102656707
LOC100577082	uncharacterized LOC100577082, transcript variant X1
GeneID_104794357	microRNA 6066
LOC413787	tetratricopeptide repeat protein 39B, transcript variant X2
LOC551363	vesicle transport through interaction with t-SNAREs homolog 1A, transcript variant X2
LOC107965051	uncharacterized LOC107965051
LOC411646	protein Gawky, transcript variant X3
LOC100577397	trichohyalin
LOC724178	uncharacterized LOC724178
LOC726262	adenylate cyclase type 8-like
LOC113219404	putative leucine-rich repeat-containing protein DDB_G0290503
LOC410480	trichohyalin, transcript variant X3
LOC411378	prostaglandin reductase 1
GeneID_406133	major royal jelly protein 4
LOC102655783	uncharacterized LOC102655783
LOC100578119	protein MIS12 homolog, transcript variant X1
LOC113218665	plectin-like
LOC726438	centrosomal protein of 97 kDa, transcript variant X2
LOC100578218	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2, transcript variant X1
LOC726617	39S ribosomal protein L48, mitochondrial, transcript variant X2
LOC113219128	uncharacterized LOC113219128
LOC113219258	uncharacterized LOC113219258, transcript variant X2
LOC552643	transmembrane protein adipocyte-associated 1 homolog, transcript variant X1
LOC410854	seipin
GeneID_726567	spatacsin
LOC724997	protein naked cuticle homolog 2-like
LOC726863	sulfotransferase 4A1
LOC107965473	uncharacterized LOC107965473
LOC551093	V-type proton ATPase catalytic subunit A, transcript variant X2
LOC100577325	uncharacterized LOC100577325, transcript variant X2
LOC409752	uncharacterized LOC409752, transcript variant X4
LOC551831	histone deacetylase complex subunit SAP30 homolog, transcript variant X1
LOC725719	DNA-directed RNA polymerase I subunit RPA2
LOC102656657	nucleolar protein of 40 kDa
LOC410678	mitochondrial ribosomal protein S11
LOC408920	long-chain fatty acid transport protein 4
LOC411038	uncharacterized LOC411038, transcript variant X3
LOC113219096	uncharacterized LOC113219096
LOC412557	diphthine methyl ester synthase
LOC100578621	uncharacterized LOC100578621, transcript variant X5
LOC727249	calcium/calmodulin-dependent protein kinase type 1, transcript variant X1
LOC550941	ABC transporter G family member 20
LOC410398	insulin-like growth factor 2 mRNA-binding protein 1, transcript variant X4
LOC726991	kinesin light chain, transcript variant X5
LOC725622	uncharacterized LOC725622
LOC551546	BAG family molecular chaperone regulator 2
LOC409604	nostrin, transcript variant X2
LOC552791	MIP18 family protein galla-2
LOC552328	glycogen [starch] synthase
LOC100577825	uncharacterized LOC100577825
LOC551806	aquaporin, transcript variant X4
LOC552605	lisH domain and HEAT repeat-containing protein KIAA1468 homolog, transcript variant X2
LOC107964857	uncharacterized LOC107964857
LOC724962	uncharacterized LOC724962, transcript variant X2
LOC413699	ubiquitin thioesterase trabid, transcript variant X1
LOC100578343	uncharacterized LOC100578343, transcript variant X3
